key,enabled,identity,password,username
user-account-consumer-01,true,"UserIdentity{name: 'Peter', surname: 'Consumer', email: 'peter@acme.com'}",consumer1,consumer1
user-account-consumer-02,true,"UserIdentity{name: 'Mary', surname: '貸んい建濯よ芝弾テソ Λορεμ ιπσθμ', email: 'mary@acme.com'}",consumer2,consumer2
user-account-consumer-03,true,"UserIdentity{name: 'Manolo', surname: '之乎路可良 ᏥᏲᏎᎭ', email: 'manolo@acme.com'}",consumer3,consumer3
user-account-provider-01,true,"UserIdentity{name: 'Laurel', surname: 'Provider', email: 'laurel@acme.com'}",provider1,provider1
user-account-provider-02,true,"UserIdentity{name: 'Martina', surname: 'коза თხა', email: 'martina@acme.com'}",provider2,provider2
user-account-provider-03,true,"UserIdentity{name: 'Antonia', surname: 'אבטיח Æløzå', email: 'antonia@acme.com'}",provider3,provider3
user-account-administrator-02,true,"UserIdentity{name: 'Administrator1', surname: 'Admin1', email: 'administrator1@acme.com'}",administrator1,administrator1
user-account-administrator-03,true,"UserIdentity{name: 'Administrator2', surname: 'Admin2', email: 'administrator2@acme.com'}",administrator2,administrator2
user-account-fundraiser-01,true,"UserIdentity{name: 'Student', surname: 'Uno', email: 'st1@acme.com'}",fundraiser1,fundraiser1
user-account-fundraiser-02,true,"UserIdentity{name: 'Student', surname: 'Dos', email: 'st2@acme.com'}",fundraiser2,fundraiser2
user-account-fundraiser-03,true,"UserIdentity{name: 'Student', surname: 'Tres', email: 'st3@acme.com'}",fundraiser3,fundraiser3
user-account-spokeperson-01,true,"UserIdentity{name:'Student', surname: 'Uno', email: 'st1@acme.com'}",spokeperson1,spokeperson1
user-account-spokeperson-02,true,"UserIdentity{name:'Student', surname: 'Dos', email: 'st2@acme.com'}",spokeperson2,spokeperson2
user-account-spokeperson-03,true,"UserIdentity{name:'Student', surname: 'Tres', email: 'st3@acme.com'}",spokeperson3,spokeperson3
